,split,Frequence (%),Metric name,Scores,D,M
224,leave_drugs_out (test_set 1),1,AUPRC,0.25567849492283024,twosides-NOSYN,AUPRC
225,leave_drugs_out (test_set 1),1,AUPRC,0.12520017223129123,twosides-NOSYN,AUPRC
226,leave_drugs_out (test_set 1),1,AUPRC,0.3723037301808445,twosides-NOSYN,AUPRC
227,leave_drugs_out (test_set 1),1,AUPRC,0.16143107966331838,twosides-NOSYN,AUPRC
228,leave_drugs_out (test_set 1),2,AUPRC,0.5099749076371103,twosides-NOSYN,AUPRC
229,leave_drugs_out (test_set 1),1,AUPRC,0.09883365515205947,twosides-NOSYN,AUPRC
230,leave_drugs_out (test_set 1),1,AUPRC,0.300744807261478,twosides-NOSYN,AUPRC
231,leave_drugs_out (test_set 1),1,AUPRC,0.21890613148067128,twosides-NOSYN,AUPRC
232,leave_drugs_out (test_set 1),1,AUPRC,0.20914578141047255,twosides-NOSYN,AUPRC
233,leave_drugs_out (test_set 1),1,AUPRC,0.28801354335113394,twosides-NOSYN,AUPRC
234,leave_drugs_out (test_set 1),1,AUPRC,0.08946232301108265,twosides-NOSYN,AUPRC
235,leave_drugs_out (test_set 1),1,AUPRC,0.04777872274517589,twosides-NOSYN,AUPRC
236,leave_drugs_out (test_set 1),1,AUPRC,0.042197815378543925,twosides-NOSYN,AUPRC
237,leave_drugs_out (test_set 1),1,AUPRC,0.027963169645000764,twosides-NOSYN,AUPRC
238,leave_drugs_out (test_set 1),2,AUPRC,0.46405935949653965,twosides-NOSYN,AUPRC
239,leave_drugs_out (test_set 1),1,AUPRC,0.07585118214327141,twosides-NOSYN,AUPRC
240,leave_drugs_out (test_set 1),1,AUPRC,0.11915883263244433,twosides-NOSYN,AUPRC
241,leave_drugs_out (test_set 1),1,AUPRC,0.348798859980126,twosides-NOSYN,AUPRC
242,leave_drugs_out (test_set 1),1,AUPRC,0.14610363290404696,twosides-NOSYN,AUPRC
243,leave_drugs_out (test_set 1),1,AUPRC,0.23282987203486727,twosides-NOSYN,AUPRC
244,leave_drugs_out (test_set 1),1,AUPRC,0.04768309440503848,twosides-NOSYN,AUPRC
245,leave_drugs_out (test_set 1),1,AUPRC,0.07036173160547914,twosides-NOSYN,AUPRC
246,leave_drugs_out (test_set 1),1,AUPRC,0.13554257155144522,twosides-NOSYN,AUPRC
247,leave_drugs_out (test_set 1),1,AUPRC,0.09929616532697493,twosides-NOSYN,AUPRC
248,leave_drugs_out (test_set 1),1,AUPRC,0.1181224583889316,twosides-NOSYN,AUPRC
249,leave_drugs_out (test_set 1),1,AUPRC,0.13833181549234974,twosides-NOSYN,AUPRC
250,leave_drugs_out (test_set 1),1,AUPRC,0.08050434118116491,twosides-NOSYN,AUPRC
251,leave_drugs_out (test_set 1),1,AUPRC,0.15656998866731592,twosides-NOSYN,AUPRC
252,leave_drugs_out (test_set 1),1,AUPRC,0.12210489954415393,twosides-NOSYN,AUPRC
253,leave_drugs_out (test_set 1),1,AUPRC,0.23748630100442294,twosides-NOSYN,AUPRC
254,leave_drugs_out (test_set 1),1,AUPRC,0.2780030947536681,twosides-NOSYN,AUPRC
255,leave_drugs_out (test_set 1),1,AUPRC,0.08476909770922147,twosides-NOSYN,AUPRC
256,leave_drugs_out (test_set 1),1,AUPRC,0.24295726420730615,twosides-NOSYN,AUPRC
257,leave_drugs_out (test_set 1),2,AUPRC,0.6886596706561627,twosides-NOSYN,AUPRC
258,leave_drugs_out (test_set 1),1,AUPRC,0.08485297757331822,twosides-NOSYN,AUPRC
259,leave_drugs_out (test_set 1),1,AUPRC,0.08055836684882482,twosides-NOSYN,AUPRC
260,leave_drugs_out (test_set 1),1,AUPRC,0.24143030142559496,twosides-NOSYN,AUPRC
261,leave_drugs_out (test_set 1),1,AUPRC,0.2848017689435022,twosides-NOSYN,AUPRC
262,leave_drugs_out (test_set 1),1,AUPRC,0.13042678083187936,twosides-NOSYN,AUPRC
263,leave_drugs_out (test_set 1),1,AUPRC,0.19800383571137817,twosides-NOSYN,AUPRC
264,leave_drugs_out (test_set 1),1,AUPRC,0.08422170121499961,twosides-NOSYN,AUPRC
265,leave_drugs_out (test_set 1),1,AUPRC,0.10431920019692703,twosides-NOSYN,AUPRC
266,leave_drugs_out (test_set 1),1,AUPRC,0.04360192744204584,twosides-NOSYN,AUPRC
267,leave_drugs_out (test_set 1),1,AUPRC,0.24531345276948718,twosides-NOSYN,AUPRC
268,leave_drugs_out (test_set 1),1,AUPRC,0.08647645015911781,twosides-NOSYN,AUPRC
269,leave_drugs_out (test_set 1),1,AUPRC,0.02246746255436513,twosides-NOSYN,AUPRC
270,leave_drugs_out (test_set 1),1,AUPRC,0.2560397706953022,twosides-NOSYN,AUPRC
271,leave_drugs_out (test_set 1),2,AUPRC,0.43848712001598944,twosides-NOSYN,AUPRC
272,leave_drugs_out (test_set 1),1,AUPRC,0.3419873205328914,twosides-NOSYN,AUPRC
273,leave_drugs_out (test_set 1),1,AUPRC,0.1842893349399996,twosides-NOSYN,AUPRC
274,leave_drugs_out (test_set 1),1,AUPRC,0.03416660509042094,twosides-NOSYN,AUPRC
275,leave_drugs_out (test_set 1),1,AUPRC,0.08763864317782127,twosides-NOSYN,AUPRC
276,leave_drugs_out (test_set 1),1,AUPRC,0.11021415979595378,twosides-NOSYN,AUPRC
